Name,Structure_Code,Span_FT,Depth_FT,Min_Fill_Depth_FT,Max_Fill_Depth_FT,Wall_Thickness_IN,Top_Thickness_IN,Bottom_Thickness_IN,Structure_Type,Specification_Source
SCP-3-(3x2),SCP-3,3,2,1,15,4,4,4,Precast Single Box Culvert,TxDOT CD-SCP03
SCP-3-(3x3),SCP-3,3,3,1,15,4,4,4,Precast Single Box Culvert,TxDOT CD-SCP03
SCP-4-(4x2),SCP-4,4,2,1,15,5,5,5,Precast Single Box Culvert,TxDOT CD-SCP04
SCP-4-(4x3),SCP-4,4,3,1,15,5,5,5,Precast Single Box Culvert,TxDOT CD-SCP04
SCP-4-(4x4),SCP-4,4,4,1,15,5,5,5,Precast Single Box Culvert,TxDOT CD-SCP04
SCP-5-(5x2),SCP-5,5,2,1,15,6,6,6,Precast Single Box Culvert,TxDOT CD-SCP05
SCP-5-(5x3),SCP-5,5,3,1,15,6,6,6,Precast Single Box Culvert,TxDOT CD-SCP05
SCP-5-(5x4),SCP-5,5,4,1,15,6,6,6,Precast Single Box Culvert,TxDOT CD-SCP05
SCP-5-(5x5),SCP-5,5,5,1,15,6,6,6,Precast Single Box Culvert,TxDOT CD-SCP05
SCP-6-(6x3),SCP-6,6,3,1,15,7,7,7,Precast Single Box Culvert,TxDOT CD-SCP06
SCP-6-(6x4),SCP-6,6,4,1,15,7,7,7,Precast Single Box Culvert,TxDOT CD-SCP06
SCP-6-(6x5),SCP-6,6,5,1,15,7,7,7,Precast Single Box Culvert,TxDOT CD-SCP06
SCP-6-(6x6),SCP-6,6,6,1,15,7,7,7,Precast Single Box Culvert,TxDOT CD-SCP06
SCP-7-(7x4),SCP-7,7,4,1,15,8,8,8,Precast Single Box Culvert,TxDOT CD-SCP07
SCP-7-(7x5),SCP-7,7,5,1,15,8,8,8,Precast Single Box Culvert,TxDOT CD-SCP07
SCP-7-(7x6),SCP-7,7,6,1,15,8,8,8,Precast Single Box Culvert,TxDOT CD-SCP07
SCP-7-(7x7),SCP-7,7,7,1,15,8,8,8,Precast Single Box Culvert,TxDOT CD-SCP07
SCP-8-(8x4),SCP-8,8,4,1,15,8,8,8,Precast Single Box Culvert,TxDOT CD-SCP08
SCP-8-(8x5),SCP-8,8,5,1,15,8,8,8,Precast Single Box Culvert,TxDOT CD-SCP08
SCP-8-(8x6),SCP-8,8,6,1,15,8,8,8,Precast Single Box Culvert,TxDOT CD-SCP08
SCP-8-(8x7),SCP-8,8,7,1,15,8,8,8,Precast Single Box Culvert,TxDOT CD-SCP08
SCP-8-(8x8),SCP-8,8,8,1,15,8,8,8,Precast Single Box Culvert,TxDOT CD-SCP08
SCP-9-(9x5),SCP-9,9,5,1,15,9,9,9,Precast Single Box Culvert,TxDOT CD-SCP09
SCP-9-(9x6),SCP-9,9,6,1,15,9,9,9,Precast Single Box Culvert,TxDOT CD-SCP09
SCP-9-(9x7),SCP-9,9,7,1,15,9,9,9,Precast Single Box Culvert,TxDOT CD-SCP09
SCP-9-(9x8),SCP-9,9,8,1,15,9,9,9,Precast Single Box Culvert,TxDOT CD-SCP09
SCP-9-(9x9),SCP-9,9,9,1,15,9,9,9,Precast Single Box Culvert,TxDOT CD-SCP09
SCP-10-(10x4),SCP-10,10,4,1,15,10,10,10,Precast Single Box Culvert,TxDOT CD-SCP10
SCP-10-(10x5),SCP-10,10,5,1,15,10,10,10,Precast Single Box Culvert,TxDOT CD-SCP10
SCP-10-(10x6),SCP-10,10,6,1,15,10,10,10,Precast Single Box Culvert,TxDOT CD-SCP10
SCP-10-(10x7),SCP-10,10,7,1,15,10,10,10,Precast Single Box Culvert,TxDOT CD-SCP10
SCP-10-(10x8),SCP-10,10,8,1,15,10,10,10,Precast Single Box Culvert,TxDOT CD-SCP10
SCP-10-(10x9),SCP-10,10,9,1,15,10,10,10,Precast Single Box Culvert,TxDOT CD-SCP10
SCP-10-(10x10),SCP-10,10,10,1,15,10,10,10,Precast Single Box Culvert,TxDOT CD-SCP10
SCP-11-(11x6),SCP-11,11,6,1,15,11,11,11,Precast Single Box Culvert,TxDOT CD-SCP11
SCP-11-(11x8),SCP-11,11,8,1,15,11,11,11,Precast Single Box Culvert,TxDOT CD-SCP11
SCP-11-(11x10),SCP-11,11,10,1,15,11,11,11,Precast Single Box Culvert,TxDOT CD-SCP11
SCP-11-(11x11),SCP-11,11,11,1,15,11,11,11,Precast Single Box Culvert,TxDOT CD-SCP11
SCP-12-(12x4),SCP-12,12,4,1,15,12,12,12,Precast Single Box Culvert,TxDOT CD-SCP12
SCP-12-(12x6),SCP-12,12,6,1,15,12,12,12,Precast Single Box Culvert,TxDOT CD-SCP12
SCP-12-(12x8),SCP-12,12,8,1,15,12,12,12,Precast Single Box Culvert,TxDOT CD-SCP12
SCP-12-(12x10),SCP-12,12,10,1,15,12,12,12,Precast Single Box Culvert,TxDOT CD-SCP12
SCP-12-(12x12),SCP-12,12,12,1,15,12,12,12,Precast Single Box Culvert,TxDOT CD-SCP12
